age,pdf
0,
1,
2,
3,0.000241838
4,
5,
6,0.000858369
7,6.35122E-05
8,0.001195815
9,6.86342E-05
10,0.001133103
11,0.000989319
12,0.001142453
13,0.00168662
14,0.000799308
15,0.001220844
16,0.000557103
17,0.001049869
18,0.002836879
19,0.007769877
20,0.004387328
21,0.004897835
22,0.003167772
23,0.00524195
24,0.008162636
25,0.006565112
26,0.005122891
27,0.006560912
28,0.005438317
29,0.004378336
30,0.009577164
31,0.015494637
32,0.007505937
33,0.017398173
34,0.018768097
35,0.028211374
36,0.05460644
37,0.029100688
38,0.01827648
39,0.122631924
40,0.117756098
41,0.040142346
42,0.06796875
43,0.055780157
44,0.097125323
45,0.054705882
46,0.145394737
47,0.127844736
48,0.025641026
49,
50,0.111111111
51,
52,0.111111111
53,0.416666667
54,
55,
56,0.5
57,1
